id,company,segment,contact_name,role,email,phone,country_state,website,current_source,species_focus,typical_order_usd,status,first_contact_date,last_contact_date,interest_level,differentiator_cited,payment_terms_stated,doa_expectation,notes,next_action,next_action_owner
B001,Segrest Farms,wholesaler,,,,,US-FL,segrestfarms.com,unknown - research needed,general freshwater/marine,unknown,not_contacted,,,,,,,"One of the largest US aquarium fish wholesalers; ~6000 tanks in Gibsonton FL. High-value target but likely hardest to win first.",Find named buyer/purchasing contact via site or LinkedIn,Agent
B002,Southland Aquatics,wholesaler,,,,,US-CA,southlandaquatics.net,unknown - research needed,tropical freshwater,unknown,not_contacted,,,,,,,"Top US supplier of tropical freshwater fish to independent retailers since 1985; based at LAX, ships nationwide.",Find named buyer/purchasing contact,Agent
B003,Tri-County Tropicals,wholesaler,,,,,US-NY,tricountytropicals.com,unknown - research needed,freshwater,unknown,not_contacted,,,,,,,"25+ years supplying independent brick-and-mortar retailers; near JFK, ships to all US airports.",Find named buyer/purchasing contact,Agent
B004,Raley Tropical Fish,wholesaler,,,,,US-FL,raleytropicalfish.com,unknown - research needed,freshwater/saltwater/plants/pond,unknown,not_contacted,,,,,,,Florida's largest delivery-only wholesaler since 1974.,Find named buyer/purchasing contact,Agent
B005,Carolina Aquatics,wholesaler,,,,,US-NC,carolinaaquatics.com,unknown - research needed,freshwater/saltwater,unknown,not_contacted,,,,,,,Wholesale-only; serves brick-and-mortar stores and service companies.,Find named buyer/purchasing contact,Agent
B006,A&M Aquatics,wholesaler,,,,,US-FL,amaquatics.com,unknown - research needed,mostly marine/Caribbean - confirm freshwater fit,unknown,not_contacted,,,,,,,"Started 1987 in Florida Keys; primarily marine/Caribbean collection - verify freshwater relevance before pursuing.",Verify freshwater fit before contacting,Agent
B007,Ruinemans Aquarium Inc. (USA),wholesaler,,,,,US,usa.ruinemansgroup.com,imports from 25 countries incl. Netherlands/Brazil/Asia,tropical fish,unknown,not_contacted,,,,,,,"Operating since 1955; established multi-country import relationships - useful signal for what a new source needs to offer.",Find named buyer/purchasing contact,Agent
B008,Aquarium Supply Distribution,wholesaler,,,,,US,aquariumsupplydistribution.com,unknown - research needed,mixed - confirm live fish vs. dry goods only,unknown,not_contacted,,,,,,,Verify whether they distribute live fish or only hardware/supplies before pursuing.,Verify live-fish relevance,Agent
B009,Miami Aquarium Traders Inc,wholesaler,,,,,US-FL,,unknown - research needed,South American aquarium fish,unknown,not_contacted,,,,,,,"Named as a major importer/exporter, South American focus - website not yet confirmed.",Confirm website and contact,Agent
B010,New York Aquarium Traders,wholesaler,,,,,US-NY,,unknown - research needed,South American aquarium fish,unknown,not_contacted,,,,,,,Named alongside Miami Aquarium Traders - website not yet confirmed.,Confirm website and contact,Agent
B011,Aquatic Arts,retailer,,,,,US-IN,aquaticarts.com,unknown - research needed,exotic freshwater fish/inverts/plants,2000-6000 est,not_contacted,,,,,,,"One of the largest online direct-to-consumer aquarium retailers; in business 7+ years. Better first-contact fit than the largest wholesalers.",Find purchasing/sourcing contact,Agent
B012,The iFISH Store,retailer,,,,,US,theifishstore.com,unknown - research needed,freshwater and pond fish,2000-6000 est,not_contacted,,,,,,,,Find purchasing/sourcing contact,Agent
B013,Imperial Tropicals,retailer,,,,,US,imperialtropicals.com,unknown - research needed,freshwater - breeder-direct model,2000-6000 est,not_contacted,,,,,,,"Breeding and shipping since 1970 - note they may breed in-house rather than import, check fit carefully.",Confirm whether they import or only breed in-house,Agent
B014,Aquarium Fish Depot,retailer,,,,,US,aquariumfishdepot.com,unknown - research needed,rare/exotic freshwater,2000-6000 est,not_contacted,,,,,,,Specializes in importing/breeding rare and exotic fish - good fit for a differentiated species offer.,Find purchasing/sourcing contact,Agent
B015,Aqua Imports,retailer,,,,,US,aqua-imports.com,unknown - research needed,tropical fish/shrimp/snails/plants,2000-6000 est,not_contacted,,,,,,,Catalog updated daily with new arrivals - suggests active multi-source importing.,Find purchasing/sourcing contact,Agent
B016,LiveAquaria,retailer,,,,,US-WI,liveaquaria.com,unknown - research needed,general aquarium - mostly marine-forward brand,2000-6000 est,not_contacted,,,,,,,"Large established brand; owned by a major pet-supply group - confirm whether they take on new small-batch international suppliers at all before spending outreach time here.",Verify whether they buy from small/new international suppliers,Agent
